"","year","area","street_1","street_2"
"269",2011,"Birmingham","College  Road,  Kingstanding,  B'ham","College Road, Kingstanding, B'ham"
"270",2011,"Birmingham","College  Road,  Kingstanding,  B'ham",""
"271",2011,"Birmingham","Copshill  Court,  Mount  View,  Sutton  Coldfield","Copshill Court, Mount View, Sutton Coldfield"
"272",2011,"Birmingham","Dovedale  Road,  Erdington,  B'ham","Dovedale Road, Erdington, B'ham"
"273",2011,"Birmingham","Downside  Road,  Erdington,  B'ham","Downside Road, Erdington, B'ham"
"274",2011,"Birmingham","Eachelhurt  Road,  Erdington","Eachelhurt Road, Erdington"
"275",2011,"Birmingham","ERDINGTON  HALL  ROAD","ERDINGTON HALL ROAD"
"276",2011,"Birmingham","ERDINGTON  HALL  ROAD",""
"277",2011,"Birmingham","Erdington  High  str.","Erdington High str."
"278",2011,"Birmingham","Fentham  Road,  Erdington,  B'ham","Fentham Road, Erdington, B'ham"
"279",2011,"Birmingham","FINCHLEY  ROAD","FINCHLEY ROAD"
"280",2011,"Birmingham","Finchley  Road,  Kingstanding,  B'ham","Finchley Road, Kingstanding, B'ham"
"281",2011,"Birmingham","GEORGE  FREDERICK  ROAD","GEORGE FREDERICK ROAD"
"282",2011,"Birmingham","Golden  Pond  take  away          Boldmere  Road","Golden Pond take away        Boldmere Road"
"283",2011,"Birmingham","good  hope  hospital","good hope hospital"
"284",2011,"Birmingham","Gracechurch  Centre","Gracechurch Centre"
"285",2011,"Birmingham","Gracechurch  centre,  outside  Supercigs","Gracechurch centre, outside Supercigs"
"286",2011,"Birmingham","GraceChurch  Shopping  Centre,  Sutton  Coldfield","GraceChurch Shopping Centre, Sutton Coldfield"
"287",2011,"Birmingham","grassed  area  ,  pype  hayes  park....","grassed area , pype hayes park...."
"288",2011,"Birmingham","Gravelley  lane","Gravelley lane"
"289",2011,"Birmingham","Gravelley  lane",""
"290",2011,"Birmingham","Gravelley  lane",""
"291",2011,"Birmingham","Gravelly  Lane,  Erdington,  Birmingham","Gravelly Lane, Erdington, Birmingham"
"292",2011,"Birmingham","hairy  lemon  pub  .sutton  coldfield","hairy lemon pub .sutton coldfield"
"293",2011,"Birmingham","hairy  lemon  pub  .sutton  coldfield",""
"294",2011,"Birmingham","Hermatige  Road","Hermatige Road"
"295",2011,"Birmingham","Hermatige  Road",""
"296",2011,"Birmingham","HERMITAGE  DRIVE","HERMITAGE DRIVE"
"297",2011,"Birmingham","High  str.","High str."
"298",2011,"Birmingham","High  str.  erdington","High str. erdington"
"299",2011,"Birmingham","High  str.,  erdington","High str., erdington"
"300",2011,"Birmingham","High  str.,  Erdington","High str., Erdington"
"301",2011,"Birmingham","High  str.,  S/C","High str., S/C"
"302",2011,"Birmingham","High  str.,  S/C",""
"303",2011,"Birmingham","Hight  St  ErdINGTON","Hight St ErdINGTON"
"304",2011,"Birmingham","HUNTON  HILL","HUNTON HILL"
"305",2011,"Birmingham","KFC  retail  outlet  ,  Erdington  High  str.","KFC retail outlet , Erdington High str."
"306",2011,"Birmingham","Kingsbury  Road,  Erdington,  B'ham","Kingsbury Road, Erdington, B'ham"
"307",2011,"Birmingham","Kingstanding  Circle","Kingstanding Circle"
"308",2011,"Birmingham","Ladywell  Walk,  Birmingham","Ladywell Walk, Birmingham"
"309",2011,"Birmingham","Landsdown  Road","Landsdown Road"
"310",2011,"Birmingham","LICHFIELD  ROAD,  MERE  GREEN","LICHFIELD ROAD, MERE GREEN"
